자사, 42, 185
자나, 75, 171
카나, 51, 152
자다, 48, 155
카라, 87, 165
카가, 63, 169
파자, 48, 147
다나, 96, 173
파자, 88, 195
다파, 68, 178
사라, 90, 164
사타, 94, 188
차사, 76, 148
가아, 93, 160
아가, 62, 185
하마, 68, 153
바사, 68, 150
아마, 90, 167
바마, 78, 155
아바, 75, 153
가타, 61, 156
타타, 99, 171
아바, 40, 158
나자, 74, 166
아라, 44, 168
다가, 75, 185
가사, 64, 197
차아, 93, 199
사다, 83, 197
사차, 45, 187
나가, 64, 193
가파, 47, 177
가바, 67, 166
가다, 82, 152
파차, 54, 180
아바, 48, 192
다나, 40, 163
사카, 72, 142
하가, 58, 160
라아, 68, 180
다바, 96, 194
타바, 91, 198
다바, 80, 185
다카, 92, 179
바아, 85, 195
아가, 47, 198
다파, 55, 179
다차, 46, 194
가자, 70, 188
아하, 77, 159
하아, 75, 175
바타, 54, 159
하아, 66, 158
카아, 68, 178
타다, 52, 145
사나, 61, 145
나다, 47, 142
자자, 67, 184
다자, 64, 199
사타, 89, 146
차하, 45, 171
사카, 57, 160
하자, 77, 150
자타, 73, 163
다아, 45, 174
사타, 64, 163
자타, 71, 148
아자, 94, 161
가파, 87, 191
바카, 98, 145
카바, 43, 188
카아, 58, 186
자사, 86, 145
아마, 65, 181
자파, 44, 157
라가, 44, 164
바나, 96, 168
하자, 64, 180
파나, 82, 155
라타, 88, 146
아파, 71, 150
차나, 78, 189
타차, 78, 193
타가, 98, 192
하사, 41, 195
아바, 52, 148
카사, 57, 183
카가, 88, 150
하가, 58, 156
차마, 80, 148
나사, 63, 154
바사, 70, 169
파사, 95, 163
카마, 57, 187
하자, 70, 194
파라, 69, 143
다사, 73, 151
사바, 60, 192
카카, 87, 154
마타, 88, 146
차타, 70, 147
가타, 96, 178
차가, 90, 196
나라, 60, 185
자사, 57, 155
가아, 50, 188
가차, 76, 160
마나, 63, 144
라마, 47, 149
타하, 90, 178
차나, 75, 196
가다, 77, 183
바사, 95, 186
나차, 50, 168
차자, 86, 163
하자, 48, 187
다가, 78, 188
나라, 77, 151
차아, 71, 161
자카, 41, 173
마타, 51, 156
나파, 48, 152
카아, 72, 198
아다, 45, 178
라파, 55, 148
파사, 52, 188
카사, 99, 157
차타, 82, 155
가사, 90, 196
다나, 86, 154
파하, 51, 157
하타, 86, 150
라사, 43, 155
나사, 43, 184
다파, 71, 171
마가, 74, 141
라차, 52, 156
카다, 59, 147
파사, 40, 185
자다, 76, 167
라가, 78, 142
파아, 63, 164
카하, 42, 188
아다, 65, 166
차사, 63, 147
차아, 97, 151
하카, 60, 175
라타, 68, 155
타나, 82, 162
하다, 94, 194
파마, 77, 197
하가, 84, 167
아가, 93, 195
하나, 79, 192
라사, 41, 191
바바, 73, 194
하사, 89, 149
타나, 41, 173
라사, 74, 197
사자, 89, 151
아타, 75, 159
파바, 80, 198
차차, 57, 168
다나, 58, 185
사타, 71, 173
라사, 44, 182
라아, 63, 177
바파, 43, 173
바자, 49, 159
파아, 65, 181
파자, 71, 160
